model,model_family,avg_rank,median_rank,avg_smape,avg_mae,avg_rmse,evaluated_tasks,wins,experiment_type
timesfm,foundation,2.3333333333333335,1.0,31.533099709278215,1.4392461688576672e+17,1.5143817851680525e+17,18,11,baseline
arima,traditional,3.2777777777777777,3.0,29.30598075083445,9.162556961583147e+16,1.0408096570168078e+17,18,1,baseline
naive,traditional,3.5,4.0,27.626281611140413,6.706494186494186e+16,8.196020032181131e+16,18,4,baseline
seasonal_naive,traditional,4.0,4.0,28.77758891732715,1.4105290285498872e+17,1.633292384285063e+17,18,1,baseline
ttm,foundation,4.857142857142857,5.5,25.12662181271519,1.552850000046072e+17,1.642950507108206e+17,14,1,baseline
prophet,traditional,5.0,6.0,47.6674728054994,4.291922577188556e+17,4.319399090717498e+17,18,0,baseline
uni2ts,foundation,5.166666666666667,5.0,45.563185489063834,2.2572553514981894e+17,2.381643687138339e+17,18,0,baseline
lstm,traditional,7.055555555555555,8.0,149.97950403243902,6.00743623781676e+17,6.028763531101362e+17,18,1,baseline
