dataset_key,horizon_type,domain,frequency,model,model_family,horizon,experiment_type,n_series,mae,rmse,smape,avg_fit_time_seconds,avg_inference_time_seconds,avg_series_total_time_seconds,avg_peak_memory_mb
bitcoin,long,finance,daily,timesfm,foundation,30,tuned,18,2.3247393772647567e+18,2.4115585734198113e+18,20.583393230078233,0.00021978219350174443,0.7312835057576498,0.731510255071852,0.1091804504394531
bitcoin,short,finance,daily,naive,traditional,15,tuned,18,4.2944067236481254e+17,5.332994038942606e+17,22.977770276657182,1.0861290825737847e-06,9.5367431640625e-06,1.2636184692382812e-05,0.0412139892578125
car_parts,long,retail,monthly,naive,traditional,5,tuned,2674,0.5727000747943156,0.7505348337149196,53.13108091443395,3.080539232594983e-07,6.60002187017011e-06,9.172339000716106e-06,3.2200241088867188
car_parts,short,retail,monthly,naive,traditional,2,tuned,2674,0.5046746447270007,0.5875445789123087,48.587146206633264,3.2267645391494193e-07,5.1630015861836494e-06,7.560383319498057e-06,3.2402610778808603
electricity_weekly,long,energy,weekly,timesfm,foundation,8,tuned,321,30481.789552920334,33137.78385021031,9.103093043831436,2.1883260423891924e-05,0.4350050320135099,0.4350324924861159,0.5820035934448242
electricity_weekly,short,energy,weekly,timesfm,foundation,4,tuned,321,17319.724983857057,20205.26506670756,7.202438136731999,2.2246458820093457e-05,0.4265917342771251,0.4266214118196957,1.4218854904174805
fred_md,long,finance,monthly,timesfm,foundation,24,tuned,107,5015.486956671957,5732.563642994308,13.074179009045283,4.537306099294498e-05,0.5605901669119006,0.5606413578318659,0.22434711456298817
fred_md,short,finance,monthly,timesfm,foundation,12,tuned,107,2769.7418172102166,3203.20969402028,10.291124352155611,4.887580871581931e-05,0.42530400507918026,0.42535853608746393,1.0605802536010742
m1_monthly,long,finance,monthly,timesfm,foundation,18,tuned,589,1958.0277372313171,2297.191326297124,13.982878150007435,8.917016772543838e-06,0.2882251294238053,0.28823888807831066,1.0836248397827148
m1_monthly,short,finance,monthly,timesfm,foundation,9,tuned,617,1305.9606560690518,1602.496925481034,11.438034879872731,1.568886990292146e-05,0.4425281481379628,0.44255002159353596,1.113905906677246
nn5_daily,long,retail,daily,timesfm,foundation,56,tuned,111,3.4069649346927875,4.992091786167081,19.881093952766147,2.3027798077007673e-05,0.2910944577809927,0.2911215966886228,0.2341537475585937
nn5_daily,short,retail,daily,timesfm,foundation,28,tuned,111,3.3387345445747423,5.16358264091192,20.055804898227898,2.3620622652071017e-05,0.2901611650312269,0.2901887979593363,0.2394561767578125
nn5_weekly,long,retail,weekly,timesfm,foundation,8,tuned,111,13.914180989421544,17.346942003316133,10.684763020807424,1.1306625228744369e-05,0.21249610239321043,0.21251330074963265,0.2397089004516601
nn5_weekly,short,retail,weekly,timesfm,foundation,4,tuned,111,14.814267393278987,17.79888800020711,11.365803552771432,1.1076798310150971e-05,0.20441780863581474,0.204435683585502,0.2173938751220703
saugeenday,long,energy,daily,arima,traditional,30,tuned,1,20.85652701556973,41.114838835435215,33.949019866694925,2.86102294921875e-06,3.2626953125,3.262704849243164,67.37734985351562
saugeenday,short,energy,daily,uni2ts,foundation,15,tuned,1,34.8275937906901,52.19526275058343,52.34357342347812,3.814697265625e-06,1.22108793258667,1.221100091934204,0.5579319000244141
solar_weekly,long,energy,weekly,timesfm,foundation,5,tuned,137,1175.2621439467382,1299.5364807124067,24.005903768686903,1.8138955109310348e-05,0.5050703957133049,0.5050957098494481,0.2591075897216797
solar_weekly,short,energy,weekly,naive,traditional,2,tuned,137,821.1653284671532,868.3334909661341,19.817583840170226,8.196726332615762e-07,8.494314486092895e-06,1.297379932264342e-05,0.1785116195678711
