dataset_key,model,horizon_type,experiment_type,status,count
m1_monthly,seasonal_naive,short,tuned,success,617
m1_monthly,timesfm,long,baseline,failed,28
m1_monthly,timesfm,long,baseline,success,589
m1_monthly,timesfm,long,tuned,failed,28
m1_monthly,timesfm,long,tuned,success,589
m1_monthly,timesfm,short,baseline,success,617
m1_monthly,timesfm,short,tuned,success,617
m1_monthly,ttm,long,baseline,failed,446
m1_monthly,ttm,long,baseline,success,171
m1_monthly,ttm,long,tuned,failed,446
m1_monthly,ttm,long,tuned,success,171
m1_monthly,ttm,short,baseline,failed,122
m1_monthly,ttm,short,baseline,success,495
m1_monthly,ttm,short,tuned,failed,122
m1_monthly,ttm,short,tuned,success,495
m1_monthly,uni2ts,long,baseline,success,617
m1_monthly,uni2ts,long,tuned,success,617
m1_monthly,uni2ts,short,baseline,success,617
m1_monthly,uni2ts,short,tuned,success,617
nn5_daily,arima,long,baseline,success,111
nn5_daily,arima,long,tuned,success,111
nn5_daily,arima,short,baseline,success,111
nn5_daily,arima,short,tuned,success,111
nn5_daily,lstm,long,baseline,success,111
nn5_daily,lstm,long,tuned,success,111
nn5_daily,lstm,short,baseline,success,111
nn5_daily,lstm,short,tuned,success,111
nn5_daily,naive,long,baseline,success,111
nn5_daily,naive,long,tuned,success,111
nn5_daily,naive,short,baseline,success,111
nn5_daily,naive,short,tuned,success,111
nn5_daily,prophet,long,baseline,success,111
nn5_daily,prophet,long,tuned,success,111
nn5_daily,prophet,short,baseline,success,111
nn5_daily,prophet,short,tuned,success,111
nn5_daily,seasonal_naive,long,baseline,success,111
nn5_daily,seasonal_naive,long,tuned,success,111
nn5_daily,seasonal_naive,short,baseline,success,111
nn5_daily,seasonal_naive,short,tuned,success,111
nn5_daily,timesfm,long,baseline,success,111
nn5_daily,timesfm,long,tuned,success,111
nn5_daily,timesfm,short,baseline,success,111
nn5_daily,timesfm,short,tuned,success,111
nn5_daily,ttm,long,baseline,success,111
nn5_daily,ttm,long,tuned,success,111
nn5_daily,ttm,short,baseline,success,111
nn5_daily,ttm,short,tuned,success,111
nn5_daily,uni2ts,long,baseline,success,111
nn5_daily,uni2ts,long,tuned,success,111
nn5_daily,uni2ts,short,baseline,success,111
nn5_daily,uni2ts,short,tuned,success,111
nn5_weekly,arima,long,baseline,success,111
nn5_weekly,arima,long,tuned,success,111
nn5_weekly,arima,short,baseline,success,111
nn5_weekly,arima,short,tuned,success,111
nn5_weekly,lstm,long,baseline,success,111
nn5_weekly,lstm,long,tuned,success,111
nn5_weekly,lstm,short,baseline,success,111
nn5_weekly,lstm,short,tuned,success,111
nn5_weekly,naive,long,baseline,success,111
