domain,model,model_family,avg_runtime_rank,avg_runtime_seconds
energy,arima,traditional,3.9166666666666665,0.925872208870056
energy,lstm,traditional,6.666666666666667,129.90390156103197
energy,naive,traditional,1.0833333333333333,2.5347548013780483e-05
energy,prophet,traditional,5.083333333333333,3.5970178092813896
energy,seasonal_naive,traditional,1.9166666666666667,0.0002686440718326429
energy,timesfm,foundation,5.166666666666667,1.20772381363357
energy,ttm,foundation,5.875,1.4256382112933839
energy,uni2ts,foundation,5.583333333333333,1.245179211407722
finance,arima,traditional,3.75,0.3236395710580022
finance,lstm,traditional,7.333333333333333,30.078686460576094
finance,naive,traditional,1.0,1.4779025412818958e-05
finance,prophet,traditional,5.583333333333333,0.8839734237954158
finance,seasonal_naive,traditional,2.0,7.770254989083199e-05
finance,timesfm,foundation,5.166666666666667,0.45582881202415465
finance,ttm,foundation,4.333333333333333,0.3511438225223378
finance,uni2ts,foundation,6.833333333333333,1.183314218982466
retail,arima,traditional,3.5,0.11429025930265214
retail,lstm,traditional,6.5,3.8172556687613644
retail,naive,traditional,1.0,1.2042211389711099e-05
retail,prophet,traditional,4.583333333333333,0.22747613259691538
retail,seasonal_naive,traditional,2.0,4.121166800256051e-05
retail,timesfm,foundation,5.416666666666667,0.28641445749692857
retail,ttm,foundation,4.75,0.27923718953991794
retail,uni2ts,foundation,7.166666666666667,1.2084706720330403
