model,model_family,avg_fit_time_seconds,avg_inference_time_seconds,avg_series_total_time_seconds,avg_peak_memory_mb,evaluated_tasks
naive,traditional,1.4897361203520625e-06,1.3040332684541705e-05,1.738959493877018e-05,3.76185761557685,36
seasonal_naive,traditional,1.1311948573360836e-06,0.0001250151932518651,0.00012918609657534513,0.5997091134389242,36
arima,traditional,1.8251727113565233e-06,0.4545938691675413,0.4546006797435701,12.103929705089993,36
ttm,foundation,4.038801943923932e-06,0.6375881456980228,0.6375974670333738,11.73787716456822,28
timesfm,foundation,0.00013783428263068644,0.6498444002485897,0.6499890277182178,3.9003829691145153,36
uni2ts,foundation,2.8678137564234074e-06,1.2123126086684952,1.2123213674744093,4.768444405661689,36
prophet,traditional,9.77203037054521e-05,1.5693842346756517,1.5694891218912401,106.56334606806438,36
lstm,traditional,4.235092119063608e-06,54.59993288787275,54.599947896789814,2.4380620320638022,36
