model,model_family,avg_rank,median_rank,avg_smape,avg_mae,avg_rmse,evaluated_tasks,wins,experiment_type
timesfm,foundation,2.1666666666666665,1.0,31.533099709278215,1.4392461688576672e+17,1.5143817851680525e+17,18,12,tuned
arima,traditional,3.3333333333333335,3.0,40.42886088636246,1.1659004300043894e+17,1.2736655188380627e+17,18,1,tuned
naive,traditional,3.5555555555555554,4.0,27.626281611140413,6.706494186494186e+16,8.196020032181131e+16,18,4,tuned
seasonal_naive,traditional,3.9444444444444446,4.0,28.77758891732715,1.4105290285498872e+17,1.633292384285063e+17,18,1,tuned
ttm,foundation,4.714285714285714,5.5,25.443977170209116,1.5817709347141853e+17,1.705283910875404e+17,14,0,tuned
uni2ts,foundation,5.111111111111111,5.0,45.245689560882354,2.256101628191814e+17,2.3365250241143683e+17,18,1,tuned
prophet,traditional,5.166666666666667,6.0,52.82138499345037,4.2597373836290285e+17,4.2874137638140243e+17,18,0,tuned
lstm,traditional,7.166666666666667,8.0,137.78935818269804,6.00743623781676e+17,6.028763531101362e+17,18,0,tuned
