dataset_key,domain,frequency,model,model_family,horizon_type,horizon,experiment_type,n_series,mae,rmse,smape,avg_fit_time_seconds,avg_inference_time_seconds,avg_series_total_time_seconds,avg_peak_memory_mb
bitcoin,finance,daily,timesfm,foundation,long,30,tuned,18,2.3247393772647567e+18,2.4115585734198113e+18,20.583393230078233,0.00021978219350174443,0.7312835057576498,0.731510255071852,0.1091804504394531
bitcoin,finance,daily,ttm,foundation,long,30,tuned,18,1.878327498188057e+18,1.958246009888644e+18,20.794300528737583,3.2981236775716147e-06,0.14112481806013313,0.14113406340281165,0.9912710189819336
bitcoin,finance,daily,naive,traditional,long,30,tuned,18,7.777282812040321e+17,9.419842018982259e+17,21.785472117044833,1.0596381293402778e-06,1.1894438001844617e-05,1.5179316202799479e-05,0.0418739318847656
bitcoin,finance,daily,seasonal_naive,traditional,long,30,tuned,18,1.7733886764114263e+18,1.9637372769144968e+18,22.063131811109834,9.139378865559896e-07,0.00011740790473083534,0.0001200040181477473,0.0493736267089843
bitcoin,finance,daily,arima,traditional,long,30,tuned,18,1.5489427071873134e+18,1.6403585099871409e+18,29.214566864735882,1.708666483561198e-06,1.0460565090179443,1.046062217818366,37.66766166687012
bitcoin,finance,daily,prophet,traditional,long,30,tuned,18,4.030449631407016e+18,4.065416771583982e+18,43.77135096330955,0.00010336769951711197,1.6469187206692166,1.6470269627041287,143.38465690612793
bitcoin,finance,daily,uni2ts,foundation,long,30,tuned,18,3.460296083336346e+18,3.5100287311521024e+18,48.08200770951543,6.940629747178819e-06,1.9789360761642456,1.978950752152337,0.9430780410766602
bitcoin,finance,daily,lstm,traditional,long,30,tuned,18,5.326948859812022e+18,5.35339678440449e+18,139.39971763581605,1.6768773396809895e-05,154.57085319360098,154.57088498274484,2.3090648651123047
bitcoin,finance,daily,naive,traditional,short,15,tuned,18,4.2944067236481254e+17,5.332994038942606e+17,22.977770276657182,1.0861290825737847e-06,9.5367431640625e-06,1.2636184692382812e-05,0.0412139892578125
bitcoin,finance,daily,ttm,foundation,short,15,tuned,18,3.36151810411568e+17,4.291514653366801e+17,24.19771332861195,1.655684577094184e-06,0.11282980442047114,0.11283406946394174,0.9845399856567385
bitcoin,finance,daily,timesfm,foundation,short,15,tuned,18,2.6590372667898253e+17,3.1432863988261376e+17,24.543080625331324,0.00010482470194494722,0.46906786494784874,0.46917714012993705,0.0979938507080078
bitcoin,finance,daily,arima,traditional,short,15,tuned,18,5.4967806682048e+17,6.522394239212553e+17,25.199612960001147,2.3444493611653647e-06,1.2031606568230524,1.20316747824351,30.396971702575684
bitcoin,finance,daily,uni2ts,foundation,short,15,tuned,18,6.006868474086354e+17,6.957163122534669e+17,26.936123977521362,3.629260592990451e-06,1.0631503131654527,1.0631596909628973,0.9422101974487302
